model_name,pr_auc,roc_auc,precision,recall,f1
MAJORITY_CLASS,0.24186930647931812,0.5,0.0,0.0,0.0
RANDOM_STRATIFIED,0.24186930647931812,0.5,0.23890510034193235,0.22458390131435013,0.2315232477446218
LOGISTIC_REGRESSION,0.578209221999221,0.7781930604806594,0.4328796702897422,0.7017384426381246,0.5354547088887177
